C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C50:1
C51:1
D1:1
D2:1
J1:1
J2:1
J8:1
JP1:1
L1:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R6:1
R7:1
R8:1
R9:1
S2:1
S3:1
SW1:1
U1:1
U2:1
U3:1
U5:1
